1986,65.2,69.3,68.6,71.6,77.5,81.3,83,83.5,83.3,80.3,79.3,73.5
1987,66,70.8,71.9,70.6,78.6,84.1,84.2,85.4,83.6,77.6,75.3,69.8
1988,67.9,67.7,70.7,76.1,77.9,81.9,83.1,83.5,84,79,76.9,70.5
1989,72.7,70.8,73.6,77,81,82.6,83.3,84.2,84,79,76.2,64.9
1990,73.5,74,73.7,75.2,80.3,83,83.5,83.6,83.1,80.4,74.4,72.8
1991,72.8,69.7,73.9,78.3,81.5,82.9,83.5,84.5,82.4,78.9,73.1,72.2
1992,67.4,70.5,71.8,74,77.8,81.5,84.9,84.4,83.2,79.4,76.8,71.6
1993,73.2,68.9,71.4,74,79.2,83.3,84.5,84.8,83,80.8,75.9,68.9
1994,69.3,73.3,74,78.2,81,83.6,83.7,82.8,81.8,80.2,77.2,72
1995,67.3,67.9,73.5,77.4,82.1,81.7,84.5,84.2,83.6,81.5,73.8,68.1
1996,68,66.7,69.7,76,81.2,82.5,84.5,83.1,83.2,78.4,74.3,70.2
