1948,37.2,38.2,41.4,44.8,52.5,61.5,61.6,60.9,56.2,49,41.4,35.2
1949,27.9,36.9,44.2,49,56.5,57.9,61.6,62,59.2,47.2,48.8,38.4
1950,25.8,39.5,41.5,45.4,51.1,60.1,62.9,64.2,57.8,48.9,43.4,45
1951,37.2,40.6,39.1,49.3,53.6,60.6,63.7,61.9,59.2,50.4,43,36.2
1952,35.7,39.8,42.2,47.7,53.8,56.5,63.7,62.7,59.6,52.9,40,39.8
1953,44,40.6,43,46.8,52.8,56,62.4,62.6,58.2,52,45.7,41
1954,35.6,41.7,40.6,45.5,52.9,55.2,59.5,59.5,57.8,49.2,47.5,39.2
1955,38.6,37.8,38.9,43.6,51,57.7,59.9,60.7,56.3,50.1,39.1,37.7
1956,37.9,34.9,40.5,49.4,57.2,56.7,64.5,63.3,57,48.8,41.5,40.3
1957,32.2,38.9,43.9,50.6,57.6,59.9,61.5,61.9,62.6,50.7,43,42.4
1958,42.7,47,43.3,48.7,59.3,63.8,69.1,66.3,58.4,52.4,43.1,43.8
1959,39.7,40.5,43.4,48.3,52.3,59.1,64.7,60.8,56.9,51.2,42,38.7
1960,36.5,40.2,43.6,49.1,52.1,58.3,64.7,61.4,56.4,51.1,41.7,37.8
1961,41.8,44.1,44.5,47,52.5,60.8,64.3,66.1,56,48.4,39.1,38.5
1962,36.5,40.7,40.7,48.9,49.6,57.7,61.8,62,58.3,51,45.5,41.2
1963,33,46.1,42,46.8,53.1,56.6,62,63.4,62.6,52.4,44.8,41.5
1964,39.8,39,42.1,44.5,49.9,56,61.1,60.1,55.9,50.2,41,34.4
1965,38.8,41.5,43.7,49,51.6,59.1,65.9,65.2,54.8,53.2,46.6,38.3
1966,39.3,40.6,43.8,49,52.6,56.3,60.8,61.8,59.3,49,44,42.1
1967,40.7,41.3,41,44.8,53.6,62.2,63.8,68.8,62.3,52.5,43.7,39.3
1968,38.3,43.8,46.2,47,54,58.3,64.8,61.6,57.7,48.6,44.5,35.6
1969,30.9,38.2,44.4,48.1,56.1,64,62.1,60.6,58.9,48.8,44.3,40.3
1970,38.1,42.7,43.4,45,51.8,60.8,64.1,62,55.1,47.5,42.4,36.8
1971,38.6,39.2,39.9,46,53.6,54.8,63.4,65.4,55.2,48.6,43.5,36
1972,34,38.8,45.3,43.8,54.9,58,62.8,64.1,55.1,46.5,43,35.4
1973,36.5,40.4,43.5,47.2,53.8,57.8,62.7,59.5,58.8,49.8,39.8,40.5
1974,37.4,41.8,44.6,46.6,51.8,59.6,62.4,64.7,63.2,49.5,43.6,40.1
1975,38.4,39.4,40.5,44,52.5,57.5,63.8,60.6,57.8,49,41.3,38.6
1976,40,39.3,40.2,46,51.5,54.9,61.7,60.7,58.9,49.6,43.1,39.1
1977,35.7,45.2,43.4,50.2,51.4,59.8,59.7,64.6,56.7,48.5,40.3,38
1978,41.8,43.5,45.9,48.1,52.9,63.1,65.1,63.5,56.8,50.5,37.9,34.1
1979,30.9,40.3,47.5,49.6,54.9,58.7,65.1,62.8,59.3,51.6,40.2,41.3
1980,31.6,39.8,42,48.9,52.8,56.3,62.8,62.3,59.5,51.9,46.5,43.7
1981,42.1,43.4,47,48.9,53.9,57.8,62.7,67.4,60,49.7,45.3,39.7
1982,38,40.6,42.6,45.8,54.1,62.9,63,64.3,59.4,50.7,40.2,38.6
1983,42.5,45.3,47.5,48.9,56.5,58.7,62,64.1,56.2,49.1,46,33.8
1984,41.7,43,46.7,46.6,51.6,57.7,63.3,63.8,58.1,48.4,43.3,35.4
1985,35.7,37.4,42.1,48.9,54.5,59,67.4,63.5,56.6,49.2,33.8,34
1986,42,40.2,47.2,46.3,54.4,60.8,59.6,66.4,57.1,51.4,43.4,38.7
1987,38.7,43.2,46,50,55.5,60.2,62.3,63.6,60.1,52.4,46.1,37.6
1988,37.9,42.4,43.8,48.4,53.3,56.7,62.5,62.1,57.2,53.8,42.9,39.3
1989,39.3,33.2,41,50.9,53.9,60.3,61,62.4,59.4,49.7,44.7,41.1
1990,40.3,37.4,44.1,49.6,52.5,57.6,65.8,66,61.1,48.4,44,32.5
1991,37.1,45,41.4,46.4,51.8,55.7,63.8,65.1,59.7,49.3,44.6,41
1992,41.2,45.2,47.8,50.4,57.5,63,64.7,64.8,58.2,51.3,43.7,37
1993,34.9,38.5,45.1,49.1,58.6,59.3,60.3,64.1,59.7,53.1,39.1,39.9
1994,42.9,39.4,46.5,50.6,55.8,59.1,66.3,64.6,62.2,49.1,39.5,38.2
1995,40.4,42.7,44.8,48.5,57.2,60.7,65.5,61.7,62.3,50.7,47.5,40.1
1996,38.9,40.1,44.7,49.6,50.7,57.4,65.2,63.7,56.2,49.1,42.2,38.7
1997,39.5,40.8,44.4,47.8,56.5,57.8,63.1,65.9,60.7,49.9,45.6,38.7
1998,40.4,43.4,45,48.1,53.3,58.7,66.8,64.3,60.4,49.9,44.8,37.8
1999,40.3,40.6,42.5,46.3,50.4,57.2,60.9,63.6,57.1,49.2,45.8,40.7
